,,,,,UTILIZED IMPACT FACTORS,,,,farm gate (=1),PROXY DEFINITION,ENERGY USE MJ/kg,,,,GHG Emissions (kg CO2eq/kg),,,,additional processing inputs for select foods,,,VARIANCE CALCULATIONS,,,,,,,,,
,,,,number of times specific commodity appears in FCID recipe files,CED ,GHG ,,,,,PROXY?,,,,PROXY?,,,,Energy (MJ),GHG (kgCO2eq),,Energy Use (MJ/kg),,,,,GHGE,,,,
FCID_Code,FCID_Desc,Weight_Basis_ as defined by FCID,Comments (from FCID),N_Cases,MJ / kg,CO2 eq / kg,weight Conversion Factor,conversion factor source, or processor gate (=2)?,,,# of datapoints,N-average,Std. Dev,,# of datapoints,N-average,Std. Dev,,,,basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean),basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean)
2403060000,Breadfruit,weight of pulp; excluding peel,,1,4.346,0.684,1.28,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2403279000,Pineapple,weight of pulp; excluding leaves and outer peel,,2681,5.619,0.914,1.96,FICRCD,1,,DB value,1,2.867,0.000,DB value,2,0.466,0.196,,,,tropical_fruit,9,3.395412826,2.169807696,1.83191727,tropical_fruit,30,0.534489436,0.862009314,0.751771429
2403280000,"Pineapple, dried",weight of dried pulp only,,125,27.807,4.522,9.7,FICRCD,1,pineapple,PROXY,1,2.867,#DIV/0!,PROXY,2,0.466,0.196,,,,tropical_fruit,9,3.395412826,2.169807696,1.83191727,tropical_fruit,30,0.534489436,0.862009314,0.751771429
2403281000,"Pineapple, juice",weight of juice at single strength (or standard dilution),,8553,10.671,1.855,1.88,FICRCD,1,pineapple,PROXY,1,2.867,#DIV/0!,PROXY,2,0.466,0.196,5.282,0.979,,tropical_fruit,9,3.395412826,2.169807696,1.83191727,tropical_fruit,30,0.534489436,0.862009314,0.751771429
2403346000,Soursop,weight of pulp; excluding peel,,4,5.059,0.796,1.49,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2405252000,Passionfruit,weight of pulp; excluding seeds and peel,,3,4.346,0.684,1.28,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,,,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
2405253000,"Passionfruit, juice",weight of juice at single strength (or standard dilution),,6353,11.665,1.984,1.88,FICRCD,1,tropical_fruit,PROXY,9,3.395,2.170,PROXY,30,0.534,0.862,5.282,0.979,,tropical_fruit,9,3.395412826,2.169807696,2.169807696,tropical_fruit,30,0.534489436,0.862009314,0.862009314
3100044000,"Beef, meat","weight of meat; excluding the weight of bone, and all nutrient fat",Consider veal as equivalent to beef. Include bison and buffalo.,29164,67.895,33.105,1,None,1,,DB value,19,67.895,39.184,DB value,95,33.105,12.613,,,,DIRECT,19,,39.18398023,39.18398023,DIRECT,95,,12.61349997,12.61349997
3100045000,"Beef, meat, dried","weight of dried meat; excluding bones, and trimmable fat",,414,93.695,45.685,1.38,FICRCD,1,,DB value,19,67.895,39.184,DB value,95,33.105,12.613,,,,DIRECT,19,,39.18398023,39.18398023,DIRECT,95,,12.61349997,12.61349997
3100046000,"Beef, meat byproducts",weight of meat; excluding bone; may contain some fat,"Includes brain, heart, lung, sweetbread, tail, tripe, tongue, and head.",26546,67.895,33.105,1,None,1,,DB value,19,67.895,39.184,DB value,95,33.105,12.613,,,,DIRECT,19,,39.18398023,39.18398023,DIRECT,95,,12.61349997,12.61349997
3100047000,"Beef, fat",weight of nutrient fat only; includes  nutrient fat from beef meat,,32127,67.895,33.105,1,None,1,,DB value,19,67.895,39.184,DB value,95,33.105,12.613,,,,DIRECT,19,,39.18398023,39.18398023,DIRECT,95,,12.61349997,12.61349997
3100049000,"Beef, liver",weight of organ including nutrient fat,,84,67.895,33.105,1,None,1,,DB value,19,67.895,39.184,DB value,95,33.105,12.613,,,,DIRECT,19,,39.18398023,39.18398023,DIRECT,95,,12.61349997,12.61349997
3200169000,"Goat, meat","weight of meat; excluding weight of bone, and all nutrient fat and skin",,45,33.613,34.745,1,None,1,Sheep,PROXY,6,33.613,20.560,PROXY,25,34.745,30.512,,,,Sheep,6,33.61342452,20.5604794,20.5604794,Sheep,25,34.7452695,30.51157233,30.51157233
3200170000,"Goat, meat byproducts",weight of meat; excluding bone; may include some trimmable fat and/or skin,"Includes brain, heart, and head.",1,33.613,34.745,1,None,1,Sheep,PROXY,6,33.613,20.560,PROXY,25,34.745,30.512,,,,Sheep,6,33.61342452,20.5604794,20.5604794,Sheep,25,34.7452695,30.51157233,30.51157233
3200171000,"Goat, fat",weight of nutrient fat only; include nutrient fat from goat meat,,45,33.613,34.745,1,None,1,Sheep,PROXY,6,33.613,20.560,PROXY,25,34.745,30.512,,,,Sheep,6,33.61342452,20.5604794,20.5604794,Sheep,25,34.7452695,30.51157233,30.51157233
3400290000,"Pork, meat","weight of meat; excluding weight of bone, and all nutrient fat and skin",,24279,28.620,5.560,1,None,1,,DB value,17,28.620,6.891,DB value,50,5.560,1.590,,,,DIRECT,17,,6.891324829,6.891324829,DIRECT,50,,1.589608827,1.589608827
3400291000,"Pork, skin",dry weight of skin including nutrient fat,"e.g., pork rind snacks.",10329,28.620,5.560,1,None,1,,DB value,17,28.620,6.891,DB value,50,5.560,1.590,,,,DIRECT,17,,6.891324829,6.891324829,DIRECT,50,,1.589608827,1.589608827
3400292000,"Pork, meat byproducts",weight of meat; excluding bone; may include some trimmable fat and skin,"Includes ears, jowl, chitterlings, stomach (maw), fatback, and feet.",19329,28.620,5.560,1,None,1,,DB value,17,28.620,6.891,DB value,50,5.560,1.590,,,,DIRECT,17,,6.891324829,6.891324829,DIRECT,50,,1.589608827,1.589608827
3400293000,"Pork, fat",weight of nutrient  fat only; includes weight of nutrient fat from meat,,27119,28.620,5.560,1,None,1,,DB value,17,28.620,6.891,DB value,50,5.560,1.590,,,,DIRECT,17,,6.891324829,6.891324829,DIRECT,50,,1.589608827,1.589608827
3400295000,"Pork, liver",weight of organ including nutrient fat,,89,28.620,5.560,1,None,1,,DB value,17,28.620,6.891,DB value,50,5.560,1.590,,,,DIRECT,17,,6.891324829,6.891324829,DIRECT,50,,1.589608827,1.589608827
3500339000,"Sheep, meat","weight of meat; excluding weight of bone, total nutrient fat and skin",,2660,33.613,34.745,1,None,1,,DB value,6,33.613,20.560,DB value,25,34.745,30.512,,,,DIRECT,6,,20.5604794,20.5604794,DIRECT,25,,30.51157233,30.51157233
3500340000,"Sheep, meat byproducts",weight of meat; excluding bones; may include some trimmable fat and/or skin,Includes brain and tongue.,2176,33.613,34.745,1,None,1,,DB value,6,33.613,20.560,DB value,25,34.745,30.512,,,,DIRECT,6,,20.5604794,20.5604794,DIRECT,25,,30.51157233,30.51157233
3500341000,"Sheep, fat",weight of nutrient fat only; includes nutrient fat from meat,,3742,33.613,34.745,1,None,1,,DB value,6,33.613,20.560,DB value,25,34.745,30.512,,,,DIRECT,6,,20.5604794,20.5604794,DIRECT,25,,30.51157233,30.51157233
3500343000,"Sheep, liver","weight of organ, including nutrient fat",,16,33.613,34.745,1,None,1,,DB value,6,33.613,20.560,DB value,25,34.745,30.512,,,,DIRECT,6,,20.5604794,20.5604794,DIRECT,25,,30.51157233,30.51157233
3600222000,"Milk, fat",weight of nutrient fat only,,50583,59.356,11.018,8.326394671,None,2,,DB value,4,7.129,3.435,DB value,9,1.323,0.328,,,,Fluid_Milk_Cow,41,7.128620783,3.435052073,3.435052073,DIRECT,9,,0.328204695,0.328204695
3600223000,"Milk, nonfat solids",Remaining weight of milk after subtracting milk fat and moisture content of milk,"Includes casein; also, includes lactose added to items that are neither commercial baby foods nor infant formulas.",50712,59.356,11.018,8.326394671,None,2,,DB value,4,7.129,3.435,DB value,9,1.323,0.328,,,,Fluid_Milk_Cow,41,7.128620783,3.435052073,3.435052073,DIRECT,9,,0.328204695,0.328204695
3600224000,"Milk, water",Moisture content of milk,,50581,0.000,0.000,0,None,2,,DB value,4,7.129,3.435,DB value,9,1.323,0.328,,,,Fluid_Milk_Cow,41,7.128620783,3.435052073,3.435052073,DIRECT,9,,0.328204695,0.328204695
3800221000,"Meat, game","weight of meat; excluding bone, trimmable fat and skin","Includes armadillo, bear, beaver, caribou, deer, elk, frog, groundhog, moose, snake, opossum, raccoon, squirrel, turtle.",161,8.500,0.840,1,None,2,,DB value,1,8.500,0.000,DB value,1,0.840,#DIV/0!,,,,no var,,,0,0,no var,,,0,0
3900312000,"Rabbit, meat","weight of meat; excluding bone, trimmable fat and skin",,9,55.220,4.541,1,None,1,,DB value,1,55.220,0.000,DB value,1,4.541,#DIV/0!,,,,chicken,15,27.33798485,11.44637304,23.12058342,chicken,32,4.187848389,2.300074627,2.493968994
4000093000,"Chicken, meat","weight of flesh; excluding the weight of bone, total nutrient fat, and skin",,26566,27.338,4.188,1,None,1,,DB value,15,27.338,11.446,DB value,32,4.188,2.300,,,,DIRECT,15,,11.44637304,11.44637304,DIRECT,32,,2.300074627,2.300074627
4000094000,"Chicken, liver",weight of organ;  including nutrient fat,,267,27.338,4.188,1,None,1,,DB value,15,27.338,11.446,DB value,32,4.188,2.300,,,,DIRECT,15,,11.44637304,11.44637304,DIRECT,32,,2.300074627,2.300074627
4000095000,"Chicken, meat byproducts",weight of meat; excluding bone; may include some trimmable fat and/or skin,"Includes giblets (heart), necks, gizzard, feet, and tail.",13122,27.338,4.188,1,None,1,,DB value,15,27.338,11.446,DB value,32,4.188,2.300,,,,DIRECT,15,,11.44637304,11.44637304,DIRECT,32,,2.300074627,2.300074627
4000096000,"Chicken, fat",weight of nutrient fat only; includes weight of nutrient fat from chicken meat and skin,,26710,27.338,4.188,1,None,1,,DB value,15,27.338,11.446,DB value,32,4.188,2.300,,,,DIRECT,15,,11.44637304,11.44637304,DIRECT,32,,2.300074627,2.300074627
4000097000,"Chicken, skin",weight of skin only (0 grams nutrient fat),,12543,27.338,4.188,1,None,1,,DB value,15,27.338,11.446,DB value,32,4.188,2.300,,,,DIRECT,15,,11.44637304,11.44637304,DIRECT,32,,2.300074627,2.300074627
5000382000,"Turkey, meat","weight of meat; excluding bone, all nutrient fat, and skin",,12047,27.338,2.571,1,None,1,chicken,PROXY,15,27.338,11.446,DB value,1,2.571,#DIV/0!,,,,chicken,15,27.33798485,11.44637304,11.44637304,chicken,32,4.187848389,2.300074627,1.412295065
5000383000,"Turkey, liver","weight of organ, including nutrient fat",,122,27.338,2.571,1,None,1,chicken,PROXY,15,27.338,11.446,DB value,1,2.571,#DIV/0!,,,,chicken,15,27.33798485,11.44637304,11.44637304,chicken,32,4.187848389,2.300074627,1.412295065
5000384000,"Turkey, meat byproducts",weight of meat; excluding bone (may contain some fat and/or skin),"Includes gizzard, heart, neck, and tail.",10762,27.338,2.571,1,None,1,chicken,PROXY,15,27.338,11.446,DB value,1,2.571,#DIV/0!,,,,chicken,15,27.33798485,11.44637304,11.44637304,chicken,32,4.187848389,2.300074627,1.412295065
5000385000,"Turkey, fat",weight of nutrient  fat only; includes nutrient fat from meat and skin,,12144,27.338,2.571,1,None,1,chicken,PROXY,15,27.338,11.446,DB value,1,2.571,#DIV/0!,,,,chicken,15,27.33798485,11.44637304,11.44637304,chicken,32,4.187848389,2.300074627,1.412295065
5000386000,"Turkey, skin",weight of skin only (0 grams nutrient fat),,7683,27.338,2.571,1,None,1,chicken,PROXY,15,27.338,11.446,DB value,1,2.571,#DIV/0!,,,,chicken,15,27.33798485,11.44637304,11.44637304,chicken,32,4.187848389,2.300074627,1.412295065
6000301000,"Poultry, other, meat","weight of meat; excluding weight of bone, and all nutrient fat, and skin","Includes dove, duck, emu, goose, guinea hen, ostrich, partridge, pheasant, pigeon, quail, squab, wild duck.",107,24.475,2.831,1,None,1,,DB value,4,24.475,14.333,DB value,5,2.831,1.126,,,,chicken,15,27.33798485,11.44637304,10.24782453,chicken,32,4.187848389,2.300074627,1.554731662
6000302000,"Poultry, other, liver","weight of organ, including nutrient fat","Includes dove, duck, emu, goose, guinea hen, ostrich, partridge, pheasant, pigeon, quail, squab, wild duck.",66,24.475,2.831,1,None,1,,DB value,4,24.475,14.333,DB value,5,2.831,1.126,,,,chicken,15,27.33798485,11.44637304,10.24782453,chicken,32,4.187848389,2.300074627,1.554731662
6000303000,"Poultry, other, meat byproducts",weight of meat; excluding bone; may contain some trimmable fat and/or skin,"Includes dove, duck, emu, goose, guinea hen, ostrich, partridge, pheasant, pigeon, quail, squab, wild duck. Byproducts include (as for chicken) giblets, gizzard, neck, feet, and tail, as applicable to species of poultry.",27,24.475,2.831,1,None,1,,DB value,4,24.475,14.333,DB value,5,2.831,1.126,,,,chicken,15,27.33798485,11.44637304,10.24782453,chicken,32,4.187848389,2.300074627,1.554731662
6000304000,"Poultry, other, fat",weight of nutrient  fat only; includes weight of nutrient fat from meat and skin,"Includes dove, duck, emu, goose, guinea hen, ostrich, partridge, pheasant, pigeon, quail, squab, wild duck.",107,24.475,2.831,1,None,1,,DB value,4,24.475,14.333,DB value,5,2.831,1.126,,,,chicken,15,27.33798485,11.44637304,10.24782453,chicken,32,4.187848389,2.300074627,1.554731662
6000305000,"Poultry, other, skin",weight of nutrient  fat only; includes weight of nutrient fat from meat and skin,"Includes dove, duck, emu, goose, guinea hen, ostrich, partridge, pheasant, pigeon, quail, squab, wild duck.",16,24.475,2.831,1,None,1,,DB value,4,24.475,14.333,DB value,5,2.831,1.126,,,,chicken,15,27.33798485,11.44637304,10.24782453,chicken,32,4.187848389,2.300074627,1.554731662
7000145000,"Egg, whole",weight of white and yolk; excluding shell,,33670,23.002,3.754,1.14,FICRCD,1,,DB value,10,20.177,4.159,DB value,25,3.293,1.636,,,,DIRECT,10,,4.158627044,4.158627044,DIRECT,25,,1.636091213,1.636091213
7000146000,"Egg, white",weight of egg white,,19255,23.002,3.754,1.14,FICRCD,1,,DB value,10,20.177,4.159,DB value,25,3.293,1.636,,,,DIRECT,10,,4.158627044,4.158627044,DIRECT,25,,1.636091213,1.636091213
7000147000,"Egg, yolk",weight of egg yolk,,17943,23.002,3.754,1.14,FICRCD,1,,DB value,10,20.177,4.159,DB value,25,3.293,1.636,,,,DIRECT,10,,4.158627044,4.158627044,DIRECT,25,,1.636091213,1.636091213
8000157000,Fish-freshwater finfish,"weight of edible portion; excluding head, tail, scales, fins, viscera, inedible bones and skin","See Appendix A (”The Fish List”) for categorization of various fish species into appropriate FC, ie, for species that are specifically fresh water fish, salt water fish, crustacean-shellfish, and mollusc-shellfish.",1138,22.350,1.571,1,None,1,,DB value,2,22.350,0.000,DB value,2,1.571,0.000,,,,all_fish,54,172.8219767,229.3295883,29.65778078,all_fish,122,7.300980897,14.00381276,3.012908731
8000158000,"Fish-freshwater finfish, farm raised","weight of edible portion; excluding head, tail, scales, fins, viscera, inedible bones and skin",See Appendix A.,338,157.432,5.717,1,None,1,,DB value,29,157.432,186.793,DB value,51,5.717,6.798,,,,DIRECT,29,,186.7927365,186.7927365,DIRECT,51,,6.79838801,6.79838801
8000159000,"Fish-saltwater finfish, tuna","weight of edible portion; excluding head, tail, scales, fins, viscera, inedible bones and skin",See Appendix A.,1416,32.180,2.148,1,None,1,,DB value,12,32.180,4.938,DB value,12,2.148,0.330,,,,DIRECT,12,,4.937557826,4.937557826,DIRECT,12,,0.329539039,0.329539039
8000160000,"Fish-saltwater finfish, other","weight of edible portion; excluding head, tail, scales, fins, viscera, inedible bones and skin",See Appendix A.,3266,130.894,3.021,1,None,1,,DB value,14,130.894,233.196,DB value,50,3.021,6.670,,,,DIRECT,14,,233.1955893,233.1955893,DIRECT,50,,6.670345129,6.670345129
8000161000,"Fish-shellfish, crustacean","weight of edible portion; excluding shell, gills, and viscera",See Appendix A.,2372,321.071,30.658,1,None,1,,DB value,9,321.071,321.891,DB value,14,30.658,28.252,,,,DIRECT,9,,321.8907596,321.8907596,DIRECT,14,,28.25217767,28.25217767
8000162000,"Fish-shellfish, mollusc",weight of edible portion; excluding shells,See Appendix A.,834,172.822,3.143,1,None,1,all_fish,PROXY,54,172.822,229.330,DB value,5,3.143,2.651,,,,all_fish,54,172.8219767,229.3295883,229.3295883,DIRECT,5,,2.651350124,2.651350124
8601100000,"Water, direct, tap",0,,23667,0.007,0.000,1,None,2,,DB value,12,0.007,0.002,DB value,12,0.000,0.000,,,,DIRECT,12,,0.002042826,0.002042826,DIRECT,12,,0.000132639,0.000132639
8601200000,"Water, direct, bottled",0,,18473,0.133,0.009,1,None,2,,DB value,24,0.133,0.062,DB value,24,0.009,0.004,,,,DIRECT,24,,0.061505961,0.061505961,DIRECT,24,,0.003680446,0.003680446
8602000000,"Water, indirect, all sources",0,,44148,0.000,0.000,0,None,1,,PROXY,0,0.000,0.000,PROXY,0,0,0.000,,,,no var,,,,,no var,,,,
9500006000,"Amaranth, grain",dry weight of grain; include Amaranth flour,,17,2.584,0.393,1,None,1,grains,PROXY,31,2.584,1.185,PROXY,45,0.393,0.204,,,,grains,31,2.58412131,1.18541907,1.18541907,grains,45,0.393493457,0.203614676,0.203614676
9500016000,"Artichoke, globe",edible portion of flowerhead,,75,16.925,0.846,2.5,LAFA,1,,DB value,1,6.770,0.000,DB value,2,0.338,0.200,,,,vegetables,60,3.490753676,2.891461549,5.6077273,vegetables,130,0.571432315,0.975672962,0.577789742
9500054000,Belgium endive,weight of leaves,Also called Witloof chicory.,1557,1.215,0.064,1.146,FICRCD,1,Escarole,PROXY,3,1.060,0.286,PROXY,3,0.056,0.004,,,,greens,10,2.56572747,1.519767307,0.627873913,greens,22,0.185619741,0.097833632,0.029339941
9500109000,"Cocoa bean, chocolate",weight of chocolate; cocoa butter,,11588,86.122,11.250,1,None,1,,DB value,4,86.122,107.366,DB value,7,11.250,14.144,,,,choc_coffee_tea,8,71.41869641,72.49051722,87.41436601,DIRECT,7,,14.14437939,14.14437939
9500110000,"Cocoa bean, powder",weight of powder,,16565,3.745,33.647,1,None,2,,DB value,3,3.745,0.212,DB value,3,33.647,14.544,,,,choc_coffee_tea,9,40.58585826,29.42495061,2.715402326,choc_coffee_tea,11,12.62544928,15.20329054,40.5170928
9500115000,"Coffee, roasted bean",dry weight of bean,,15557,64.581,6.279,1,none,2,,DB value,3,64.581,17.379,DB value,3,6.279,3.886,,,,choc_coffee_tea,9,40.58585826,29.42495061,46.82139605,choc_coffee_tea,11,12.62544928,15.20329054,7.561131341
9500116000,"Coffee, instant",dry weight of powder or granules,,9445,181.250,19.200,1,none,2,,DB value,2,181.250,8.839,DB value,2,19.200,11.102,,,,choc_coffee_tea,9,40.58585826,29.42495061,131.4071582,choc_coffee_tea,11,12.62544928,15.20329054,23.12022105
9500177000,"Grape, leaves",weight of leaves,,5,2.566,0.186,1,None,1,greens,PROXY,10,2.566,1.520,PROXY,22,0.186,0.098,,,,greens,10,2.56572747,1.519767307,1.519767307,greens,22,0.185619741,0.097833632,0.097833632
9500186000,Honey,weight of honey,,22697,3.450,2.440,1,FICRCD,2,,DB value,2,3.450,3.041,DB value,1,2.440,#DIV/0!,,,,sweeteners,14,8.845345584,17.46832841,6.8132706,sweeteners,13,1.061185914,1.805599706,4.151641315
9500186100,Bee pollen,"N/A - Does not exist in ""commodity vocabulary"" weight basis file in current or previous release",#N/A,1,3.450,2.440,1,None,2,honey,PROXY,2,3.450,3.041,PROXY,1,2.440,#DIV/0!,,,,sweeteners,14,8.845345584,17.46832841,6.8132706,sweeteners,13,1.061185914,1.805599706,4.151641315
9500188000,Hops,weight of dried hops,,3551,2.702,2.350,1,None,1,Grape,PROXY,1,2.702,#DIV/0!,DB value,1,2.350,#DIV/0!,,,,berry,9,6.225615848,3.458108076,1.50090092,berry,19,0.575970011,0.40302432,1.644368864
9500218000,"Maple, sugar",dry weight of sugar,,1794,94.336,9.186,1.36,NNDSR28,2,Maple_syrup,PROXY,1,69.365,#DIV/0!,PROXY,1,6.754,#DIV/0!,,,,sweeteners,14,8.845345584,17.46832841,136.9853432,sweeteners,13,1.061185914,1.805599706,11.49265732
9500219000,Maple syrup,weight of syrup,,2293,69.365,6.754,1,FICRCD,2,,DB value,1,69.365,0.000,DB value,1,6.754,#DIV/0!,,,,sweeteners,14,8.845345584,17.46832841,136.9853432,sweeteners,13,1.061185914,1.805599706,11.49265732
9500244000,"Palm, oil",weight of oil,,3570,10.071,7.221,1,None,2,,DB value,3,10.071,0.844,DB value,4,7.221,3.068,,,,oils,16,11.8733252,5.663275464,4.803536399,oils,19,3.607475758,2.530618213,5.065192255
9500263000,Peanut,weight of nutmeat; excluding shell,,5671,1.090,0.374,1,FICRCD,1,,DB value,1,1.090,0.000,DB value,5,0.374,0.138,,,,legume_seed,19,3.189953589,1.839062478,0.628403531,DIRECT,5,,0.137980071,0.137980071
9500264000,"Peanut, butter",weight of ground peanuts; excluding shell,,6125,2.963,1.132,1,none,2,soybean_meal,PROXY,1,2.963,#DIV/0!,DB value,3,1.132,0.402,,,,legume_seed,19,3.189953589,1.839062478,1.708418773,legume_seed,29,0.730832198,0.903866716,1.400428736
9500265000,"Peanut, oil",weight of oil,,23737,3.158,4.656,1,none,2,,DB value,1,3.158,0.000,DB value,2,4.656,0.414,,,,oils,16,11.8733252,5.663275464,1.506460892,oils,19,3.607475758,2.530618213,3.266082498
9500275000,Peppermint,weight of leaves and stems,Includes other mints (Mentha spp.) except spearmint.,3490,1.551,0.221,1,None,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
9500276000,"Peppermint, oil",weight of oil,,4,11.900,2.729,1,None,2,coconut_oil,PROXY,3,11.900,0.996,PROXY,3,2.729,0.981,,,,oils,16,11.8733252,5.663275464,5.675979432,oils,19,3.607475758,2.530618213,1.914681974
9500306000,"Psyllium, seed",dry weight of psyllium husks,,2,2.584,0.393,1,None,1,grains,PROXY,31,2.584,1.185,PROXY,45,0.393,0.204,,,,grains,31,2.58412131,1.18541907,1.18541907,grains,45,0.393493457,0.203614676,0.203614676
9500335000,Seaweed,weight of vegetation (wet and dry),"Includes algae, Irish moss, kelp, spirulina, agar, laver, and wakame.",19067,2.566,0.186,1,FICRCD,1,greens,PROXY,10,2.566,1.520,PROXY,22,0.186,0.098,,,,greens,10,2.56572747,1.519767307,1.519767307,greens,22,0.185619741,0.097833632,0.097833632
9500362000,"Sugarcane, sugar",dry weight of cane sugar (sucrose),Sucrose is a disaccharide obtained from sugar cane and sugar beet.,49995,5.146,0.700,1,None,2,,DB value,2,5.146,2.304,DB value,2,0.700,0.046,,,,sweeteners,14,8.845345584,17.46832841,10.16189199,sweeteners,13,1.061185914,1.805599706,1.190923298
9500363000,"Sugarcane, molasses",weight of molasses,Includes blackstrap molasses.,7615,5.079,0.488,1,None,2,,DB value,1,5.079,0.000,DB value,1,0.488,#DIV/0!,,,,sweeteners,14,8.845345584,17.46832841,10.02972678,sweeteners,13,1.061185914,1.805599706,0.829647666
9500372000,"Tea, dried",dry weight of tea leaves,,7481,53.431,3.820,1,None,2,,DB value,3,53.431,3.776,DB value,5,3.820,2.447,,,,choc_coffee_tea,9,40.58585826,29.42495061,38.73805345,DIRECT,5,,2.446866468,2.446866468
9500373000,"Tea, instant",dry weight of powder,,4160,154.951,11.079,2.9,"proxy diff between tea and instant tea, from coffee",2,tea,PROXY,3,53.431,3.776,PROXY,5,3.820,2.447,,,,choc_coffee_tea,9,40.58585826,29.42495061,38.73805345,tea,5,3.820285714,2.446866468,2.446866468
9500390000,Vinegar,"Weight of vinegar made from apple, grape or rice juice in recipe",,30618,7.986,1.319,1.5,None,1,apple,PROXY,18,1.437,1.348,PROXY,36,0.206,0.216,0.547944723,0.03086268,,apple,18,1.437166667,1.347966246,1.347966246,apple,36,0.205764321,0.216085896,0.216085896
9500397000,Water chestnut,weight of tuber,,961,1.849,0.277,1.3,FICRCD,1,roots,PROXY,14,1.422,0.574,PROXY,25,0.213,0.180,,,,roots,14,1.422071429,0.574420439,0.574420439,roots,25,0.2134,0.179920353,0.179920353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
