,,,,,UTILIZED IMPACT FACTORS,,,,farm gate (=1),PROXY DEFINITION,ENERGY USE MJ/kg,,,,GHG Emissions (kg CO2eq/kg),,,,additional processing inputs for select foods,,,VARIANCE CALCULATIONS,,,,,,,,,
,,,,number of times specific commodity appears in FCID recipe files,CED ,GHG ,,,,,PROXY?,,,,PROXY?,,,,Energy (MJ),GHG (kgCO2eq),,Energy Use (MJ/kg),,,,,GHGE,,,,
FCID_Code,FCID_Desc,Weight_Basis_ as defined by FCID,Comments (from FCID),N_Cases,MJ / kg,CO2 eq / kg,weight Conversion Factor,conversion factor source, or processor gate (=2)?,,,# of datapoints,N-average,Std. Dev,,# of datapoints,N-average,Std. Dev,,,,basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean),basis,n,proxy group mean,SD (group or indiv food),scaled SD (group SD*food mean/group mean)
401150000,Endive,weight of leaves,Includes escarole.,1566,1.230,0.065,1.16,FICRCD,1,Escarole,PROXY,3,1.060,0.286,PROXY,3,0.056,0.004,,,,greens,10,2.56572747,1.519767307,0.627873913,greens,22,0.185619741,0.097833632,0.029339941
401204000,"Lettuce, head",weight of leaves; juice,,15121,2.084,0.158,1.05,FICRCD,1,,DB value,1,1.985,0.000,DB value,1,0.151,#DIV/0!,,,,greens,10,2.56572747,1.519767307,1.175805954,greens,22,0.185619741,0.097833632,0.079455019
401205000,"Lettuce, leaf",weight of leaves,Includes romaine.,1626,3.994,0.229,1.26,NNDSR28,1,,DB value,6,3.170,1.442,DB value,18,0.182,0.103,,,,DIRECT,6,,1.441596337,1.441596337,DIRECT,18,,0.103413432,0.103413432
401248000,"Parsley, leaves",weight of leaves and stems,,2940,1.628,0.232,1.05,FICRCD,1,spinach,PROXY,3,1.551,1.546,PROXY,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
401313000,Radicchio,weight of leaves,,1562,1.166,0.061,1.1,FICRCD,1,Escarole,PROXY,3,1.060,0.286,PROXY,3,0.056,0.004,,,,greens,10,2.56572747,1.519767307,0.627873913,greens,22,0.185619741,0.097833632,0.029339941
401355000,Spinach,weight of leaves; juice,,2857,2.156,0.307,1.39,FICRCD,1,,DB value,3,1.551,1.546,DB value,3,0.221,0.084,,,,greens,10,2.56572747,1.519767307,0.918558907,greens,22,0.185619741,0.097833632,0.116445184
401367000,Swiss chard,weight of leaves and stalks,,11,2.797,0.202,1.09,FICRCD,1,greens,PROXY,10,2.566,1.520,PROXY,22,0.186,0.098,,,,greens,10,2.56572747,1.519767307,1.519767307,greens,22,0.185619741,0.097833632,0.097833632
402018000,Arugula,weight of leaves,,26,4.285,0.310,1.67,FICRCD,1,greens,PROXY,10,2.566,1.520,PROXY,22,0.186,0.098,,,,greens,10,2.56572747,1.519767307,1.519767307,greens,22,0.185619741,0.097833632,0.097833632
402062000,"Broccoli, Chinese","weight of flower buds, adjoining stems and leaves",,15,4.291,0.486,1,None,1,broccoli,PROXY,13,4.291,1.864,PROXY,17,0.486,0.351,,,,broccoli,13,4.290666562,1.864138193,1.864138193,broccoli,17,0.486132362,0.351387759,0.351387759
402070000,"Cabbage, Chinese, bok choy",weight of leaves and stems,,240,0.527,0.134,1.14,FICRCD,1,brassica_greens,PROXY,2,0.462,0.147,PROXY,2,0.118,0.002,,,,all_brassica,18,3.402437179,2.174521278,0.2954897,all_brassica,26,0.413633246,0.309047723,0.08805907
402117000,Collards,weight of leaves,,454,0.809,0.206,1.75,FICRCD,1,brassica_greens,PROXY,2,0.462,0.147,PROXY,2,0.118,0.002,,,,all_brassica,18,3.402437179,2.174521278,0.2954897,all_brassica,26,0.413633246,0.309047723,0.08805907
402133000,"Cress, garden",weight of leaves,,1,3.618,0.262,1.41,FICRCD,1,greens,PROXY,10,2.566,1.520,PROXY,22,0.186,0.098,,,,greens,10,2.56572747,1.519767307,1.519767307,greens,22,0.185619741,0.097833632,0.097833632
402194000,Kale,weight of leaves,Includes mizuna.,87,0.758,0.193,1.639344262,LAFA,1,,DB value,2,0.462,0.147,DB value,2,0.118,0.002,,,,all_brassica,18,3.402437179,2.174521278,0.2954897,all_brassica,26,0.413633246,0.309047723,0.08805907
402229000,Mustard greens,weight of leaves and stems,,105,0.499,0.127,1.08,FICRCD,1,brassica_greens,PROXY,2,0.462,0.147,PROXY,2,0.118,0.002,,,,all_brassica,18,3.402437179,2.174521278,0.2954897,all_brassica,26,0.413633246,0.309047723,0.08805907
402389000,"Turnip, greens",weight of leaves,,183,0.660,0.168,1.428571429,LAFA,1,brassica_greens,PROXY,2,0.462,0.147,PROXY,2,0.118,0.002,,,,all_brassica,18,3.402437179,2.174521278,0.2954897,all_brassica,26,0.413633246,0.309047723,0.08805907
402398000,Watercress,weight of leaves and stems; juice,,440,2.797,0.202,1.09,FICRCD,1,greens,PROXY,10,2.566,1.520,PROXY,22,0.186,0.098,,,,greens,10,2.56572747,1.519767307,1.519767307,greens,22,0.185619741,0.097833632,0.097833632
500061000,Broccoli,weight of flower heads and adjoining stems,,3819,7.037,0.797,1.64,FICRCD,1,,DB value,13,4.291,1.864,DB value,17,0.486,0.351,,,,DIRECT,13,,1.864138193,1.864138193,DIRECT,17,,0.351387759,0.351387759
500064000,Brussels sprouts,weight of leaf sprouts,,91,4.185,0.490,1.11,FICRCD,1,brassica,PROXY,16,3.770,2.015,PROXY,22,0.441,0.323,,,,brassica,16,3.769948351,2.015180178,2.015180178,brassica,22,0.441306624,0.322914255,0.322914255
500069000,Cabbage,weight of leaves,,3033,1.375,0.219,1.25,FICRCD,1,,DB value,1,1.100,0.000,DB value,2,0.175,0.078,,,,brassica,16,3.769948351,2.015180178,0.587991662,brassica,22,0.441306624,0.322914255,0.128051544
500071000,"Cabbage, Chinese, napa",weight of leaves,,240,0.527,0.134,1.14,FICRCD,1,brassica_greens,PROXY,2,0.462,0.147,PROXY,2,0.118,0.002,,,,all_brassica,18,3.402437179,2.174521278,0.2954897,all_brassica,26,0.413633246,0.309047723,0.08805907
500072000,"Cabbage, Chinese, mustard",weight of leaves,,240,0.499,0.127,1.08,FICRCD,1,brassica_greens,PROXY,2,0.462,0.147,PROXY,2,0.118,0.002,,,,all_brassica,18,3.402437179,2.174521278,0.2954897,all_brassica,26,0.413633246,0.309047723,0.08805907
500083000,Cauliflower,weight of flower heads and adjoining stems,Includes Broccoflower and green cauliflower.,1217,4.404,0.934,2.56,FICRCD,1,,DB value,2,1.720,0.398,DB value,3,0.365,0.085,,,,brassica,16,3.769948351,2.015180178,0.919540997,brassica,22,0.441306624,0.322914255,0.266955903
600347000,"Soybean, seed",dry weight of seed or bean,,6346,2.716,1.154,1,None,1,,DB value,4,2.716,1.068,DB value,4,1.154,1.766,,,,legume_seed,19,3.189953589,1.839062478,1.565632807,legume_seed,29,0.730832198,0.903866716,1.427571576
600348000,"Soybean, flour","dry weight of flour, soy meal, soy protein concentrate and isolate",,29542,2.963,0.406,1,FICRCD,2,soybean_meal,PROXY,1,2.963,#DIV/0!,PROXY,1,0.406,#DIV/0!,,,,flours,9,3.7933852,1.231261217,0.961845839,flours,9,0.43042331,0.072682317,0.068500725
600349000,"Soybean, soy milk",total weight of milk,,1094,1.683,0.258,1,None,2,,DB value,2,1.683,0.113,DB value,3,0.258,0.169,,,,no var,,,0,0,no var,,,0,0
